id_start,id_end,distance,moto_toll,car_toll,rv_toll,bus_toll,truck_toll
1001404,1001402,20.2,16.16,24.24,30.299999999999997,44.440000000000005,72.72
1001404,1001406,16.0,12.8,19.2,24.0,35.2,57.6
1001404,1001408,0.0,0.0,0.0,0.0,0.0,0.0
1001404,1001410,0.0,0.0,0.0,0.0,0.0,0.0
1001404,1001412,0.0,0.0,0.0,0.0,0.0,0.0
1001404,1001414,0.0,0.0,0.0,0.0,0.0,0.0
1001404,1001416,0.0,0.0,0.0,0.0,0.0,0.0
1001404,1001418,0.0,0.0,0.0,0.0,0.0,0.0
1001404,1001420,0.0,0.0,0.0,0.0,0.0,0.0
1001404,1001422,0.0,0.0,0.0,0.0,0.0,0.0
1001404,1001424,0.0,0.0,0.0,0.0,0.0,0.0
1001404,1001426,0.0,0.0,0.0,0.0,0.0,0.0
